model,dataset,subset,method,n,mean_aopc,sem_aopc,formatted
LLaMA-3.2 1B,LAMBADA,all,Random,1000,-0.26083177531312834,0.008606314760689598,-0.261 ± 0.009
LLaMA-3.2 1B,LAMBADA,all,Integrated Gradients,1000,-1.0953011333687603,0.018563087252887942,-1.095 ± 0.019
LLaMA-3.2 1B,LAMBADA,all,Input × Gradient,1000,-1.2842518351710688,0.01973578607804874,-1.284 ± 0.020
LLaMA-3.2 1B,LAMBADA,all,Semantic Scope,1000,-1.2975074614611304,0.01972964123936429,-1.298 ± 0.020
LLaMA-3.2 1B,LAMBADA,all,Temperature Scope,1000,-1.3165351581684948,0.019075961763744077,-1.317 ± 0.019
LLaMA-3.2 1B,LAMBADA,all,Fisher Scope,1000,-1.3200660647840992,0.018415921348103385,-1.320 ± 0.018
LLaMA-3.2 1B,LAMBADA,correct_only,Random,699,-0.2958309543193492,0.011304855058207544,-0.296 ± 0.011
LLaMA-3.2 1B,LAMBADA,correct_only,Integrated Gradients,699,-1.2760845918014367,0.0210736836990836,-1.276 ± 0.021
LLaMA-3.2 1B,LAMBADA,correct_only,Input × Gradient,699,-1.522546923980664,0.020170524656876184,-1.523 ± 0.020
LLaMA-3.2 1B,LAMBADA,correct_only,Semantic Scope,699,-1.540016694438458,0.020039945283497455,-1.540 ± 0.020
LLaMA-3.2 1B,LAMBADA,correct_only,Temperature Scope,699,-1.5304660049497187,0.02041451529168816,-1.530 ± 0.020
LLaMA-3.2 1B,LAMBADA,correct_only,Fisher Scope,699,-1.531090306531937,0.019528883453510497,-1.531 ± 0.020
LLaMA-3.2 1B,IWSLT2017 DE→EN,all,Random,1000,-0.2975460103313337,0.008807004053367358,-0.298 ± 0.009
LLaMA-3.2 1B,IWSLT2017 DE→EN,all,Integrated Gradients,1000,-0.9347862686197665,0.01591407800727414,-0.935 ± 0.016
LLaMA-3.2 1B,IWSLT2017 DE→EN,all,Input × Gradient,1000,-1.0433891860644202,0.016861438505412274,-1.043 ± 0.017
LLaMA-3.2 1B,IWSLT2017 DE→EN,all,Semantic Scope,1000,-1.0573773714655939,0.016798962702669392,-1.057 ± 0.017
LLaMA-3.2 1B,IWSLT2017 DE→EN,all,Temperature Scope,1000,-1.0928041070221792,0.01618915432870012,-1.093 ± 0.016
LLaMA-3.2 1B,IWSLT2017 DE→EN,all,Fisher Scope,1000,-1.0793149470088523,0.01643459114449013,-1.079 ± 0.016
LLaMA-3.2 1B,IWSLT2017 DE→EN,correct_only,Random,726,-0.29881603378363697,0.010656493675785765,-0.299 ± 0.011
LLaMA-3.2 1B,IWSLT2017 DE→EN,correct_only,Integrated Gradients,726,-0.9623064257160816,0.018948214632173114,-0.962 ± 0.019
LLaMA-3.2 1B,IWSLT2017 DE→EN,correct_only,Input × Gradient,726,-1.1185867551841644,0.019460782091139855,-1.119 ± 0.019
LLaMA-3.2 1B,IWSLT2017 DE→EN,correct_only,Semantic Scope,726,-1.123540053639061,0.01979176634807608,-1.124 ± 0.020
LLaMA-3.2 1B,IWSLT2017 DE→EN,correct_only,Temperature Scope,726,-1.1582391354239163,0.019024593799323856,-1.158 ± 0.019
LLaMA-3.2 1B,IWSLT2017 DE→EN,correct_only,Fisher Scope,726,-1.1408922409755478,0.019207193404890497,-1.141 ± 0.019
LLaMA-3.2 3B,LAMBADA,all,Random,1000,-0.22887547171095912,0.008009425274386438,-0.229 ± 0.008
LLaMA-3.2 3B,LAMBADA,all,Integrated Gradients,1000,-0.6721270452265385,0.015451316356902178,-0.672 ± 0.015
LLaMA-3.2 3B,LAMBADA,all,Input × Gradient,1000,-1.1194740568174113,0.018786047186910158,-1.119 ± 0.019
LLaMA-3.2 3B,LAMBADA,all,Semantic Scope,1000,-1.1622522173192662,0.019070808113850615,-1.162 ± 0.019
LLaMA-3.2 3B,LAMBADA,all,Temperature Scope,1000,-1.1726135761963048,0.01940778242796015,-1.173 ± 0.019
LLaMA-3.2 3B,LAMBADA,all,Fisher Scope,1000,-1.1745756812389538,0.018327090290251355,-1.175 ± 0.018
LLaMA-3.2 3B,LAMBADA,correct_only,Random,775,-0.24978291181172776,0.009675948807407552,-0.250 ± 0.010
LLaMA-3.2 3B,LAMBADA,correct_only,Integrated Gradients,775,-0.7537290157665817,0.017884130106314632,-0.754 ± 0.018
LLaMA-3.2 3B,LAMBADA,correct_only,Input × Gradient,775,-1.2870283303479595,0.019045223763645935,-1.287 ± 0.019
LLaMA-3.2 3B,LAMBADA,correct_only,Semantic Scope,775,-1.3255217380250093,0.019504710940039027,-1.326 ± 0.020
LLaMA-3.2 3B,LAMBADA,correct_only,Temperature Scope,775,-1.3241114296997065,0.02064568445556128,-1.324 ± 0.021
LLaMA-3.2 3B,LAMBADA,correct_only,Fisher Scope,775,-1.311737200195699,0.01942610772152755,-1.312 ± 0.019
LLaMA-3.2 3B,IWSLT2017 DE→EN,all,Random,1000,-0.18684626200453625,0.006977457430382653,-0.187 ± 0.007
LLaMA-3.2 3B,IWSLT2017 DE→EN,all,Integrated Gradients,1000,-0.576434507016418,0.014368776008565697,-0.576 ± 0.014
LLaMA-3.2 3B,IWSLT2017 DE→EN,all,Input × Gradient,1000,-0.7684759494200534,0.01664790207117006,-0.768 ± 0.017
LLaMA-3.2 3B,IWSLT2017 DE→EN,all,Semantic Scope,1000,-0.776613416097093,0.016909320225475158,-0.777 ± 0.017
