model,prompt_index,method,n_tokens,is_correct,spearman,kendall_tau_b,top10_jaccard
LLaMA-3.2 1B,0,Temperature Scope,92,False,0.6157699243253241,0.4419493549928332,0.25
LLaMA-3.2 1B,0,Semantic Scope,92,False,0.6392891820661807,0.4648829431438127,0.25
LLaMA-3.2 1B,0,Input × Gradient,92,False,0.616787139928795,0.4400382226469183,0.25
LLaMA-3.2 1B,0,Fisher Scope (k=4),92,False,0.6539771588859948,0.48351648351648346,0.17647058823529413
LLaMA-3.2 1B,0,Integrated Gradients,92,False,0.5071590401183669,0.3502150023889154,0.3333333333333333
LLaMA-3.2 1B,0,Random,92,False,-0.05221706764483763,-0.04252269469660774,0.05263157894736842
LLaMA-3.2 1B,1,Temperature Scope,107,True,0.5358059523109779,0.37118673955210724,0.29411764705882354
LLaMA-3.2 1B,1,Semantic Scope,107,True,0.4304453457160211,0.28337153941103865,0.2222222222222222
LLaMA-3.2 1B,1,Input × Gradient,107,True,0.4228531123258684,0.27984482454593546,0.29411764705882354
LLaMA-3.2 1B,1,Fisher Scope (k=4),107,True,0.45468171398342444,0.29500969846587904,0.29411764705882354
LLaMA-3.2 1B,1,Integrated Gradients,107,True,0.16738180606986816,0.11126785399400459,0.29411764705882354
LLaMA-3.2 1B,1,Random,107,True,0.09280158310311723,0.06471521777464292,0.0
LLaMA-3.2 1B,2,Temperature Scope,103,True,0.43791459825154855,0.3101085094231868,0.2222222222222222
LLaMA-3.2 1B,2,Semantic Scope,103,True,0.4742235206255766,0.34132876451551497,0.2222222222222222
LLaMA-3.2 1B,2,Input × Gradient,103,True,0.45940781092123184,0.323053493241957,0.2222222222222222
LLaMA-3.2 1B,2,Fisher Scope (k=4),103,True,0.5184509950358038,0.38054445079002475,0.29411764705882354
LLaMA-3.2 1B,2,Integrated Gradients,103,True,0.3636273777621579,0.2560441652389111,0.2222222222222222
LLaMA-3.2 1B,2,Random,103,True,-0.11408865263805298,-0.07329145250333144,0.0
LLaMA-3.2 1B,3,Temperature Scope,84,False,0.6631973271236206,0.47274813539873783,0.38461538461538464
LLaMA-3.2 1B,3,Semantic Scope,84,False,0.7428571428571429,0.5519219736087206,0.6363636363636364
LLaMA-3.2 1B,3,Input × Gradient,84,False,0.7275286018021667,0.53184165232358,0.38461538461538464
LLaMA-3.2 1B,3,Fisher Scope (k=4),84,False,0.7075427761466032,0.5232358003442341,0.38461538461538464
LLaMA-3.2 1B,3,Integrated Gradients,84,False,0.5074212817657183,0.3534136546184739,0.38461538461538464
LLaMA-3.2 1B,3,Random,84,False,-0.015348790118457021,-0.012621916236374068,0.058823529411764705
