subset,model,method,n,mean_tokens,mean_spearman,sem_spearman,spearman_ci_low,spearman_ci_high,mean_kendall_tau_b,sem_kendall_tau_b,kendall_tau_b_ci_low,kendall_tau_b_ci_high,mean_top10_jaccard,sem_top10_jaccard,top10_jaccard_ci_low,top10_jaccard_ci_high
all,LLaMA-3.2 1B,Temperature Scope,1000,78.35,0.5497979566587106,0.004190703576956909,0.5416736927644824,0.5581505914009459,0.39659271300829557,0.0032788919374558342,0.3901150084525767,0.40299291596433895,0.395495835537012,0.004869046989516386,0.386197907239819,0.4051995776568203
all,LLaMA-3.2 1B,Semantic Scope,1000,78.35,0.5624133256069856,0.004172439009597138,0.554328132064186,0.5705930832122539,0.40618308993112423,0.003292835820773923,0.39973798200809085,0.412654255387538,0.38757357667272524,0.0049841680210983225,0.37800919251564563,0.3975708823303889
all,LLaMA-3.2 1B,Input × Gradient,1000,78.35,0.5557778513085107,0.0041921100606862605,0.5474371466579891,0.5638903797346675,0.40071431678562636,0.0032795908494412437,0.3943462987185905,0.4070803464837214,0.3734052017077761,0.00478187783848393,0.36414064016607745,0.38300436634292706
all,LLaMA-3.2 1B,Fisher Scope (k=4),1000,78.35,0.5896289849790888,0.0040524105955206564,0.5817258754990002,0.597444072284849,0.4295897111522231,0.0032544188223046027,0.4231429259294472,0.43591090566591173,0.42733650104139737,0.0049261419251265875,0.417711693990097,0.4370446206508265
all,LLaMA-3.2 1B,Integrated Gradients,1000,78.35,0.29970977598294757,0.004624908149221551,0.29046984404863607,0.3088998650591174,0.20881527005864656,0.003315158363992507,0.202393004405506,0.21524514625795582,0.27450383889229624,0.004225847460307771,0.2663009069891125,0.28288435315443594
all,LLaMA-3.2 1B,Random,1000,78.35,0.004644005507740115,0.0036442205957659254,-0.0024760847158961717,0.011764222596845633,0.0031763651233179973,0.0024689798518560476,-0.0016299808462110288,0.007881096608458163,0.06029035543070272,0.0019096948621933152,0.056540133325361314,0.06406826702467192
all,LLaMA-3.2 3B,Temperature Scope,1000,78.35,0.5279935474355802,0.00463299457670437,0.5189329176760542,0.537038748257582,0.3789147831644277,0.003544186534382463,0.3720682669251007,0.38581744693354536,0.31344476082464373,0.004813169526157295,0.3040484623864548,0.32291638079954477
all,LLaMA-3.2 3B,Semantic Scope,1000,78.35,0.5515896070090505,0.0046548124346898105,0.5421785492824277,0.5607575183506948,0.3975778739060866,0.0035868064807039923,0.3904912557336513,0.40459687164210933,0.32077433861661886,0.004694277615564375,0.3114805497700165,0.3298459987720024
all,LLaMA-3.2 3B,Input × Gradient,1000,78.35,0.5353697874212143,0.004754272548094287,0.5260338507838656,0.544626317803438,0.3840408671443712,0.0036198863999336696,0.3768568267356023,0.39121579752303154,0.29658858944117455,0.0045426574111436776,0.2879422357007457,0.30564276165453913
all,LLaMA-3.2 3B,Fisher Scope (k=4),1000,78.35,0.5746634738298448,0.004642452856940135,0.5652980463334533,0.5837823599629822,0.4165410554603031,0.003628236555800061,0.40927897806657476,0.42365986901228875,0.3454751138259147,0.0048039097234844255,0.336208928045237,0.35494403961599974
all,LLaMA-3.2 3B,Integrated Gradients,1000,78.35,0.32131896365969487,0.005500587813901332,0.3105218335299392,0.33188249319364344,0.2242674212002405,0.003910482273192416,0.2167007554393954,0.2318152561544815,0.17779832358455322,0.003483515098600746,0.17088640212814363,0.18469693053742783
all,LLaMA-3.2 3B,Random,1000,78.35,-0.003588691110125171,0.003634213345905282,-0.010770025774682297,0.003496688361446384,-0.0023122666999104177,0.002462742254738269,-0.007152454657558565,0.002503548459883687,0.057014506628110084,0.0019574012903622825,0.053184897974164966,0.0609569810226977
correct_only,LLaMA-3.2 1B,Temperature Scope,699,78.44206008583691,0.5348785209594132,0.005049837043243504,0.5250191601236127,0.5448312489940292,0.3847262496799646,0.003920183883992008,0.37698498935827357,0.3921423468879906,0.39039148411781593,0.005751353188409694,0.37945034892664914,0.40164171952482985
correct_only,LLaMA-3.2 1B,Semantic Scope,699,78.44206008583691,0.5487739633007743,0.005056823036708214,0.5387309526871273,0.5584696592521272,0.39566104981205585,0.003959964544344403,0.387842685877485,0.4033315178457377,0.389300486879514,0.005670867693465247,0.3783179972020261,0.4003472258919781
correct_only,LLaMA-3.2 1B,Input × Gradient,699,78.44206008583691,0.5426969857307921,0.0050170494522781195,0.5327718791508859,0.552147677741999,0.3903686359051473,0.0038880586425507177,0.3826464644414445,0.39770873433331655,0.3725798735482252,0.005475713488539168,0.3618723605357112,0.38340061007974124
correct_only,LLaMA-3.2 1B,Fisher Scope (k=4),699,78.44206008583691,0.5696663385849483,0.004938540458506723,0.5601019208073511,0.5791791629346774,0.4129557570718322,0.003915637572585947,0.40523041113189795,0.42073411697589475,0.4141072231460381,0.005682964153075821,0.4029502821381811,0.42546672771909766
