model,method,dataset,n,mean_aopc,sem_aopc
LLaMA-3.2 1B,Random,LAMBADA,1000,-0.4078599809833729,0.01415802609328928
LLaMA-3.2 1B,Random,IWSLT2017 DE→EN,1000,-0.36317789239931303,0.012043666526124597
LLaMA-3.2 1B,Integrated Gradients,LAMBADA,1000,-1.3551534123925346,0.020153369032383815
LLaMA-3.2 1B,Integrated Gradients,IWSLT2017 DE→EN,1000,-1.2666449001763134,0.02025715164895563
LLaMA-3.2 1B,Input × Gradient,LAMBADA,1000,-1.611475126188128,0.020303565845846555
LLaMA-3.2 1B,Input × Gradient,IWSLT2017 DE→EN,1000,-1.459641928851814,0.02154188832200924
LLaMA-3.2 1B,Semantic Scope,LAMBADA,1000,-1.6260154335535482,0.020581379337013418
LLaMA-3.2 1B,Semantic Scope,IWSLT2017 DE→EN,1000,-1.488749534027721,0.021340976195486378
LLaMA-3.2 1B,Temperature Scope,LAMBADA,1000,-1.6859465680077905,0.019081055815535257
LLaMA-3.2 1B,Temperature Scope,IWSLT2017 DE→EN,1000,-1.534146808527678,0.020320131697258322
LLaMA-3.2 1B,Fisher Scope,LAMBADA,1000,-1.6921672063560065,0.01866477404909651
LLaMA-3.2 1B,Fisher Scope,IWSLT2017 DE→EN,1000,-1.5289522878298538,0.02115798172719958
LLaMA-3.2 3B,Random,LAMBADA,1000,-0.33916942398365507,0.013298109961156539
LLaMA-3.2 3B,Random,IWSLT2017 DE→EN,1000,-0.29452252061936235,0.01104863501933558
LLaMA-3.2 3B,Integrated Gradients,LAMBADA,1000,-0.765328835007606,0.017387312657449975
LLaMA-3.2 3B,Integrated Gradients,IWSLT2017 DE→EN,1000,-0.7047764971474172,0.01622120147904739
LLaMA-3.2 3B,Input × Gradient,LAMBADA,1000,-1.3172758777826414,0.020258612111139506
LLaMA-3.2 3B,Input × Gradient,IWSLT2017 DE→EN,1000,-1.0182491200877295,0.01938687667807346
LLaMA-3.2 3B,Semantic Scope,LAMBADA,1000,-1.3479979182898403,0.020396719057391932
LLaMA-3.2 3B,Semantic Scope,IWSLT2017 DE→EN,1000,-1.022432631263073,0.019481731672487096
LLaMA-3.2 3B,Temperature Scope,LAMBADA,1000,-1.3491104830723402,0.020337219732827986
LLaMA-3.2 3B,Temperature Scope,IWSLT2017 DE→EN,1000,-1.002588665430021,0.01932144792143151
LLaMA-3.2 3B,Fisher Scope,LAMBADA,1000,-1.3716022384486932,0.019513107696379192
LLaMA-3.2 3B,Fisher Scope,IWSLT2017 DE→EN,1000,-1.0516543798964995,0.01966004368487056
Qwen2.5 1.5B,Random,LAMBADA,1000,-0.5111052429017109,0.019779495604254887
Qwen2.5 1.5B,Random,IWSLT2017 DE→EN,1000,-0.43214035461083494,0.021463567907336254
Qwen2.5 1.5B,Integrated Gradients,LAMBADA,1000,-2.0551673681227025,0.02338261951838911
Qwen2.5 1.5B,Integrated Gradients,IWSLT2017 DE→EN,1000,-2.081825561817082,0.027903533196459204
Qwen2.5 1.5B,Input × Gradient,LAMBADA,1000,-2.0622018576042263,0.02337735084283015
Qwen2.5 1.5B,Input × Gradient,IWSLT2017 DE→EN,1000,-2.0894949648642895,0.027692401670552824
Qwen2.5 1.5B,Semantic Scope,LAMBADA,1000,-1.9986651325857734,0.02395399867200982
Qwen2.5 1.5B,Semantic Scope,IWSLT2017 DE→EN,1000,-1.9151526794364973,0.028855585247897827
Qwen2.5 1.5B,Temperature Scope,LAMBADA,1000,-2.3359185585767865,0.01884009212502201
Qwen2.5 1.5B,Temperature Scope,IWSLT2017 DE→EN,1000,-2.204943338082995,0.025047393481180253
Qwen2.5 1.5B,Fisher Scope,LAMBADA,1000,-2.1076288089026236,0.022811977635580363
Qwen2.5 1.5B,Fisher Scope,IWSLT2017 DE→EN,1000,-2.1103864887230026,0.02818752016993084
Qwen2.5 3B,Random,LAMBADA,1000,-0.5407788099061995,0.020553636757574364
Qwen2.5 3B,Random,IWSLT2017 DE→EN,1000,-0.45474781713760354,0.022752709637630777
Qwen2.5 3B,Integrated Gradients,LAMBADA,1000,-1.800534239647654,0.023422703722532152
Qwen2.5 3B,Integrated Gradients,IWSLT2017 DE→EN,1000,-1.8024024135622574,0.02651792105307995
Qwen2.5 3B,Input × Gradient,LAMBADA,1000,-1.807858464835328,0.023349820463319074
