model,dataset,n,zero_mean,zero_sem,pad_mean,pad_sem,zero_magnitude,pad_magnitude
LLaMA-3.2 1B,LAMBADA,1000,-0.26083177531312834,0.008606314760689598,-0.4078599809833729,0.01415802609328928,0.26083177531312834,0.4078599809833729
LLaMA-3.2 1B,IWSLT2017 DE→EN,1000,-0.2975460103313337,0.008807004053367358,-0.36317789239931303,0.012043666526124597,0.2975460103313337,0.36317789239931303
LLaMA-3.2 3B,LAMBADA,1000,-0.22887547171095912,0.008009425274386438,-0.33916942398365507,0.013298109961156539,0.22887547171095912,0.33916942398365507
LLaMA-3.2 3B,IWSLT2017 DE→EN,1000,-0.18684626200453625,0.006977457430382653,-0.29452252061936235,0.01104863501933558,0.18684626200453625,0.29452252061936235
Qwen2.5 1.5B,LAMBADA,1000,-0.3491672275458102,0.010779445605043427,-0.5111052429017109,0.019779495604254887,0.3491672275458102,0.5111052429017109
Qwen2.5 1.5B,IWSLT2017 DE→EN,1000,-0.24987690977175447,0.0077623776354788935,-0.43214035461083494,0.021463567907336254,0.24987690977175447,0.43214035461083494
Qwen2.5 3B,LAMBADA,1000,-0.2934579008631701,0.010122156222505712,-0.5407788099061995,0.020553636757574364,0.2934579008631701,0.5407788099061995
Qwen2.5 3B,IWSLT2017 DE→EN,500,-0.20249516988763935,0.010897335385798868,-0.4495232023570709,0.03178309799607056,0.20249516988763935,0.4495232023570709
Gemma-3 1B,LAMBADA,1000,-0.4179854223612916,0.011621370862628566,-0.6262933705970645,0.013203995018407258,0.4179854223612916,0.6262933705970645
Gemma-3 1B,IWSLT2017 DE→EN,1000,-0.4054545447831877,0.01068678636167439,-0.8489836187839508,0.013084065592669593,0.4054545447831877,0.8489836187839508
Gemma-3 4B,LAMBADA,1000,-0.2906461419601474,0.01037791328730395,-0.250468295095861,0.005619852942869684,0.2906461419601474,0.250468295095861
Gemma-3 4B,IWSLT2017 DE→EN,1000,-0.18091971916809452,0.006920747036192103,-0.14119539078921078,0.004972383113204613,0.18091971916809452,0.14119539078921078
