index,checkpoint,method,n_tokens,spearman,top10_jaccard,random_floor_spearman,random_floor_top10_jaccard
0,final_quarter,Semantic,70,0.8267168226751814,0.2727272727272727,-0.011776747441168748,0.05064102564102564
0,final_quarter,Temperature,70,0.7971131134633891,0.16666666666666666,0.0009185548071034881,0.06876456876456877
0,final_quarter,Fisher,70,0.769748928352725,0.2727272727272727,0.0051264106377394755,0.06876456876456875
1,final_quarter,Semantic,80,0.3153070792311299,0.06666666666666667,-0.00639592123769339,0.05809523809523809
1,final_quarter,Temperature,80,0.36047819971870604,0.06666666666666667,0.005146507266760432,0.03476190476190476
1,final_quarter,Fisher,80,0.14695264885138304,0.06666666666666667,-0.005771214252226911,0.038681318681318674
17,final_quarter,Semantic,56,0.6057416267942585,0.09090909090909091,-0.025126452494873552,0.05848484848484849
17,final_quarter,Temperature,56,0.5100478468899522,0.09090909090909091,0.014654818865345181,0.042727272727272725
17,final_quarter,Fisher,56,0.5650717703349284,0.09090909090909091,0.04435064935064935,0.05636363636363636
22,final_quarter,Semantic,74,0.6619326175490557,0.3333333333333333,0.03675971862273231,0.06190476190476191
22,final_quarter,Temperature,74,0.6346538319141057,0.06666666666666667,0.03816956682710106,0.07619047619047618
22,final_quarter,Fisher,74,0.5940466493891151,0.14285714285714285,0.04486782673084042,0.06904761904761905
26,final_quarter,Semantic,90,0.39327488990410336,0.125,0.0009754290653167103,0.053455882352941186
26,final_quarter,Temperature,90,0.43392188336008564,0.125,-0.016584763551055686,0.04889705882352942
26,final_quarter,Fisher,90,0.4133596740338312,0.125,0.007249454665185004,0.045220588235294124
43,final_quarter,Semantic,95,0.5362961926091826,0.25,0.018430851063829783,0.08129514963880288
43,final_quarter,Temperature,95,0.6572508398656215,0.3333333333333333,-0.024833426651735727,0.054093567251461985
43,final_quarter,Fisher,95,0.6563269876819708,0.1111111111111111,0.013108202687569986,0.052098383212934286
53,final_quarter,Semantic,77,0.47478836952521164,0.06666666666666667,-0.028608233871391765,0.06523809523809523
53,final_quarter,Temperature,77,0.42912350807087646,0.06666666666666667,-0.0023989168726010882,0.05714285714285714
53,final_quarter,Fisher,77,0.6716178558283821,0.06666666666666667,0.04580288132919711,0.054285714285714284
57,final_quarter,Semantic,94,0.6748762778600585,0.3333333333333333,-0.02389119676335657,0.0567251461988304
57,final_quarter,Temperature,94,0.5671133908897157,0.17647058823529413,-0.010823248925333241,0.05443756449948399
57,final_quarter,Fisher,94,0.6113715998988549,0.1111111111111111,0.009709207817071849,0.05180598555211559
60,final_quarter,Semantic,75,0.7668563300142247,0.45454545454545453,-0.019586059743954477,0.054285714285714284
60,final_quarter,Temperature,75,0.7483641536273115,0.7777777777777778,-0.01096443812233286,0.05142857142857142
60,final_quarter,Fisher,75,0.5989473684210526,0.23076923076923078,0.029113798008534846,0.06619047619047617
62,final_quarter,Semantic,104,0.756332017497066,0.15789473684210525,-0.004721007148191609,0.06805346700083544
62,final_quarter,Temperature,104,0.6574842633095062,0.2222222222222222,-0.04824709271311213,0.04507518796992481
62,final_quarter,Fisher,104,0.7696361890536649,0.29411764705882354,0.02523951776378961,0.044561403508771934
65,final_quarter,Semantic,101,0.5601747233546883,0.047619047619047616,-0.023539312754804885,0.06796992481203008
65,final_quarter,Temperature,101,0.5959813628421666,0.2222222222222222,0.005491555037856722,0.0902297410192147
65,final_quarter,Fisher,101,0.20311007571345369,0.0,0.009083867210250434,0.06721804511278197
68,final_quarter,Semantic,81,0.6643405600722674,0.2857142857142857,-0.0868970189701897,0.05448529411764706
68,final_quarter,Temperature,81,0.7044715447154472,0.2857142857142857,0.010512646793134602,0.04602941176470589
68,final_quarter,Fisher,81,0.6553974706413731,0.125,-3.7262872628724546e-05,0.050735294117647066
73,final_quarter,Semantic,77,0.6678321678321678,0.06666666666666667,-0.04453178400546819,0.027142857142857142
