index,checkpoint,method,n_tokens,spearman,top10_jaccard,random_floor_spearman,random_floor_top10_jaccard
1,final_quarter,Semantic,107,0.5973765159975705,0.375,0.018583828053057454,0.044085213032581456
1,final_quarter,Temperature,107,0.7389545249711006,0.375,-0.0023726953897999616,0.05269423558897244
1,final_quarter,Fisher,107,0.6363467152569604,0.5714285714285714,0.0072042947549912795,0.07005675954592364
19,final_quarter,Semantic,75,0.887112375533428,0.3333333333333333,0.015540540540540538,0.06725274725274724
19,final_quarter,Temperature,75,0.8840967283072546,0.3333333333333333,-0.026786628733997155,0.059047619047619036
19,final_quarter,Fisher,75,0.6561308677098151,0.14285714285714285,-0.018620199146514943,0.047619047619047616
23,final_quarter,Semantic,67,0.446524064171123,0.07692307692307693,-0.0157654242158193,0.05128205128205128
23,final_quarter,Temperature,67,0.8584883071274644,0.4,0.025604597334184694,0.07453379953379953
23,final_quarter,Fisher,67,0.5656077899273686,0.16666666666666666,0.01736371617846596,0.06107226107226108
41,final_quarter,Semantic,97,0.8404297285924679,0.3333333333333333,0.0281480117820324,0.04391124871001032
41,final_quarter,Temperature,97,0.8592599410898379,0.3333333333333333,0.0027140753208499922,0.0547299621603027
41,final_quarter,Fisher,97,0.7756679991584261,0.5384615384615384,-0.016966915632232273,0.06191520467836257
53,final_quarter,Semantic,69,0.4581658750456705,0.07692307692307693,-0.05847643405188163,0.04807692307692307
53,final_quarter,Temperature,69,0.4160394592619658,0.16666666666666666,0.045076726342710996,0.05722610722610723
53,final_quarter,Fisher,69,0.6431494336865181,0.2727272727272727,0.0026726342710997456,0.07389277389277389
55,final_quarter,Semantic,78,0.7001226621479786,0.23076923076923078,0.025630066136395253,0.047619047619047616
55,final_quarter,Temperature,78,0.6179516685845798,0.06666666666666667,0.032943006360727875,0.04476190476190476
55,final_quarter,Fisher,78,0.5369693597541698,0.06666666666666667,-0.02003313142553649,0.06831501831501831
58,final_quarter,Semantic,76,0.75784005468216,0.45454545454545453,0.003380724538619276,0.048095238095238094
58,final_quarter,Temperature,76,0.7223513328776487,0.3333333333333333,-0.004492139439507864,0.04047619047619048
58,final_quarter,Fisher,76,0.7313192071086809,0.23076923076923078,0.028384142173615855,0.07963369963369962
61,final_quarter,Semantic,75,0.829900426742532,0.45454545454545453,0.007554765291607394,0.055714285714285716
61,final_quarter,Temperature,75,0.9113513513513514,0.6,-0.01445803698435277,0.06249084249084249
61,final_quarter,Fisher,75,0.8254907539118065,0.3333333333333333,-0.002954480796586055,0.04428571428571428
63,final_quarter,Semantic,66,0.8797620290157606,0.75,0.0406596388685941,0.11043123543123542
63,final_quarter,Temperature,66,0.8284938941655361,0.75,0.06736457572278469,0.07325174825174825
63,final_quarter,Fisher,66,0.8887381275440978,1.0,0.034952510176390776,0.05961538461538461
65,final_quarter,Semantic,78,0.737806497300168,0.6,0.012491306162192236,0.06963369963369963
65,final_quarter,Temperature,78,0.739728625804575,0.6,-0.01837150191580571,0.054029304029304025
65,final_quarter,Fisher,78,0.8836859343188456,0.3333333333333333,0.015504748416140824,0.07879120879120878
70,final_quarter,Semantic,61,0.7142781597038603,0.2727272727272727,-0.05294553146483342,0.03910256410256411
70,final_quarter,Temperature,61,0.7067689053410893,0.4,-0.06054468535166578,0.048076923076923066
70,final_quarter,Fisher,61,0.7242199894235853,0.4,0.04537546271813854,0.08671328671328671
71,final_quarter,Semantic,70,0.6102178287113988,0.07692307692307693,-0.05188172513340915,0.04358974358974358
71,final_quarter,Temperature,70,0.5329192546583851,0.07692307692307693,-0.028113025981978824,0.04358974358974358
71,final_quarter,Fisher,70,0.8175837634502667,0.4,0.005457090368296733,0.06025641025641025
74,final_quarter,Semantic,80,0.4209798406000938,0.14285714285714285,-0.023159868729488987,0.0563003663003663
74,final_quarter,Temperature,80,0.8381622128457572,0.3333333333333333,0.014613220815752462,0.037142857142857144
74,final_quarter,Fisher,80,0.6989920300046882,0.3333333333333333,0.019642522269104547,0.06296703296703296
87,final_quarter,Semantic,78,0.7275129933357781,0.45454545454545453,0.01420604711743952,0.060476190476190475
