index,checkpoint,method,n_tokens,spearman,top10_jaccard,random_floor_spearman,random_floor_top10_jaccard
1,final_quarter,Semantic,107,0.9219616371794119,0.4666666666666667,0.02487460569368522,0.03670426065162907
1,final_quarter,Temperature,107,0.9045631771782363,0.5714285714285714,-0.022264836693508885,0.057456140350877205
1,final_quarter,Fisher,107,0.8973628009953174,0.29411764705882354,0.0032960089343443237,0.07670008354218881
4,final_quarter,Semantic,67,0.9148774842365713,0.16666666666666666,-0.03570316864873494,0.055128205128205134
4,final_quarter,Temperature,67,0.7449118046132972,0.4,0.008099209833187007,0.06666666666666667
4,final_quarter,Fisher,67,0.8831510894724242,0.5555555555555556,0.027506185649293642,0.057226107226107215
23,final_quarter,Semantic,67,0.8758480325644507,0.2727272727272727,0.006632612339372656,0.05512820512820512
23,final_quarter,Temperature,67,0.9183893367387661,0.4,2.3944448878600312e-05,0.07307692307692308
23,final_quarter,Fisher,67,0.8553755287732462,0.07692307692307693,-0.007257163380956182,0.06940559440559439
31,final_quarter,Semantic,99,0.8880395794681509,0.8181818181818182,-0.015183055040197896,0.061674406604747156
31,final_quarter,Temperature,99,0.9004576376004947,0.8181818181818182,0.05999876314162028,0.06350189198486413
31,final_quarter,Fisher,99,0.811317254174397,0.6666666666666666,-0.0073487940630797745,0.06448228414172687
34,final_quarter,Semantic,68,0.8966675573538954,0.2727272727272727,0.012289575142191858,0.05641025641025641
34,final_quarter,Temperature,68,0.9034622284994462,0.4,-0.009882811008894142,0.04038461538461539
34,final_quarter,Fisher,68,0.9043783639348018,0.4,0.030180936748482646,0.05641025641025641
45,final_quarter,Semantic,90,0.8067580359715191,0.38461538461538464,0.007117751162694986,0.043897058823529414
45,final_quarter,Temperature,90,0.8003704161007532,0.38461538461538464,-0.010631765238506806,0.07220588235294119
45,final_quarter,Fisher,90,0.6819031156109807,0.38461538461538464,-0.048099765403136194,0.03272058823529412
57,final_quarter,Semantic,82,0.8970625047615939,0.5,0.02223745932238439,0.06816176470588237
