index,checkpoint,method,n_tokens,spearman,top10_jaccard,random_floor_spearman,random_floor_top10_jaccard
0,final_quarter,Semantic,70,0.8523313795818388,0.5555555555555556,-0.009168051788994838,0.05064102564102563
0,final_quarter,Temperature,70,0.8955821887848832,0.5555555555555556,-0.02027819088443706,0.05064102564102564
0,final_quarter,Fisher,70,0.7501880850319307,0.2727272727272727,-0.024340827574140494,0.05576923076923076
4,final_quarter,Semantic,85,0.8210084033613446,0.6363636363636364,0.009550517881571236,0.05404411764705882
4,final_quarter,Temperature,85,0.9033027164354113,0.5,-0.026464725425053744,0.05183823529411765
4,final_quarter,Fisher,85,0.8919288645690834,0.8,-0.01540355677154583,0.05220588235294118
8,final_quarter,Semantic,76,0.7436773752563227,0.45454545454545453,-0.003298701298701302,0.048095238095238094
8,final_quarter,Temperature,76,0.6954477101845523,0.6,-0.015238550922761449,0.06963369963369963
8,final_quarter,Fisher,76,0.7186329460013671,0.45454545454545453,-0.010114832535885169,0.07010989010989012
14,final_quarter,Semantic,68,0.8078787647440545,0.5555555555555556,0.0020899339619040364,0.06794871794871794
14,final_quarter,Temperature,68,0.7429094934534488,0.5555555555555556,-0.014820399282360572,0.052564102564102565
14,final_quarter,Fisher,68,0.7889071267702407,0.4,0.05304424170706569,0.04679487179487179
20,final_quarter,Semantic,78,0.5698984559744054,0.45454545454545453,-0.004841993449588383,0.04428571428571428
20,final_quarter,Temperature,78,0.8947128820546542,0.7777777777777778,-0.019658822190467756,0.06809523809523808
20,final_quarter,Fisher,78,0.8484300509616965,0.7777777777777778,-0.03483984370060318,0.0545054945054945
22,final_quarter,Semantic,74,0.8562014068863382,0.3333333333333333,0.016861902998889296,0.062380952380952384
22,final_quarter,Temperature,74,0.7456645686782671,0.6,0.03415327656423546,0.06355311355311355
22,final_quarter,Fisher,74,0.6372898926323582,0.23076923076923078,0.05693446871529062,0.06523809523809523
23,final_quarter,Semantic,71,0.838262910798122,0.45454545454545453,-0.0028755868544600985,0.05963369963369962
23,final_quarter,Temperature,71,0.8683433936955063,0.6,0.005538229376257543,0.06677655677655678
23,final_quarter,Fisher,71,0.8741784037558683,0.7777777777777778,-0.01521797451374916,0.07677655677655677
24,final_quarter,Semantic,81,0.8635049683830172,0.8,-0.022820686540198736,0.06014705882352941
24,final_quarter,Temperature,81,0.7249322493224931,0.6363636363636364,-0.043693541102077675,0.060661764705882346
24,final_quarter,Fisher,81,0.7634823848238482,0.8,0.017663730803974705,0.06808823529411764
26,final_quarter,Semantic,90,0.8254763962629131,0.5,0.005680536691772646,0.05441176470588236
26,final_quarter,Temperature,90,0.8290817796435773,0.5,-0.025047536732929986,0.04566176470588235
26,final_quarter,Fisher,90,0.8950981602666995,0.38461538461538464,0.020876651438449193,0.05485294117647059
29,final_quarter,Semantic,71,0.8528169014084507,0.6,-0.006495640509725019,0.04095238095238095
29,final_quarter,Temperature,71,0.9431254191817571,0.6,0.01719483568075117,0.054285714285714284
29,final_quarter,Fisher,71,0.8733400402414487,0.7777777777777778,-0.009398054996646544,0.06058608058608058
32,final_quarter,Semantic,103,0.5275007687914599,0.375,0.021547577208628037,0.06567251461988306
32,final_quarter,Temperature,103,0.7349756183279885,0.375,0.005486974476123534,0.06035087719298247
32,final_quarter,Fisher,103,0.6771295523437157,0.375,-0.02515979879629223,0.06329156223893066
34,final_quarter,Semantic,91,0.7545309762701068,0.3333333333333333,0.0010089186176142715,0.07003783969728242
34,final_quarter,Temperature,91,0.8767638158942507,0.42857142857142855,-0.002974996018474284,0.046250429996560025
34,final_quarter,Fisher,91,0.8628921802834848,0.42857142857142855,0.012576047141264538,0.057705538355693156
37,final_quarter,Semantic,65,0.8268356643356644,0.4,-0.04073863636363636,0.03974358974358974
37,final_quarter,Temperature,65,0.8771416083916084,0.5555555555555556,0.007915209790209788,0.05641025641025641
37,final_quarter,Fisher,65,0.9283653846153845,0.4,-0.00629589160839161,0.05641025641025641
43,final_quarter,Semantic,93,0.814702634955686,0.5384615384615384,0.04543731908925427,0.05730994152046783
43,final_quarter,Temperature,93,0.8241323744442122,0.6666666666666666,0.009605801080242306,0.04712762297901617
43,final_quarter,Fisher,93,0.790427023962281,0.5384615384615384,0.015016710930739158,0.06578947368421052
46,final_quarter,Semantic,65,0.919798951048951,0.4,0.036824737762237755,0.05128205128205129
46,final_quarter,Temperature,65,0.8470279720279721,0.2727272727272727,-0.020804195804195798,0.06474358974358975
46,final_quarter,Fisher,65,0.91875,0.5555555555555556,-0.029628496503496506,0.05576923076923077
47,final_quarter,Semantic,57,0.6558205859476277,0.5,-0.023039279232564176,0.038181818181818185
47,final_quarter,Temperature,57,0.778714026445424,0.3333333333333333,0.009210526315789478,0.07636363636363636
47,final_quarter,Fisher,57,0.7505833549390719,0.5,-0.024766658024371273,0.04181818181818182
49,final_quarter,Semantic,73,0.8674256448229052,0.45454545454545453,0.024365975564605707,0.06619047619047619
49,final_quarter,Temperature,73,0.9150623225965693,0.7777777777777778,0.018988337652721222,0.07985347985347985
49,final_quarter,Fisher,73,0.700543008762187,0.14285714285714285,-0.029524558805380723,0.03428571428571429
50,final_quarter,Semantic,79,0.856572541382668,1.0,0.02428919182083739,0.030952380952380953
50,final_quarter,Temperature,79,0.8195959104186953,1.0,-0.0031365628042843265,0.05582417582417583
50,final_quarter,Fisher,79,0.8438412852969815,1.0,0.024330574488802333,0.0787912087912088
51,final_quarter,Semantic,60,0.7699360933592667,0.3333333333333333,0.006079466518477355,0.05727272727272727
51,final_quarter,Temperature,60,0.8836899138649627,0.5,-0.04876910252848013,0.034848484848484844
51,final_quarter,Fisher,60,0.8462350652959159,0.7142857142857143,0.047463184217838295,0.05545454545454546
53,final_quarter,Semantic,79,0.891333982473223,0.45454545454545453,0.035704722492697176,0.03809523809523809
53,final_quarter,Temperature,79,0.8818889970788706,0.23076923076923078,-0.03485516066212269,0.04201465201465201
53,final_quarter,Fisher,79,0.8879990262901656,0.3333333333333333,0.008481012658227849,0.048095238095238094
60,final_quarter,Semantic,75,0.9407681365576103,0.7777777777777778,0.021977240398293026,0.07010989010989009
60,final_quarter,Temperature,75,0.8900426742532005,0.7777777777777778,0.010371266002844954,0.05857142857142857
60,final_quarter,Fisher,75,0.9273399715504979,0.7777777777777778,0.04158748221906117,0.0657142857142857
61,final_quarter,Semantic,82,0.6833295240582928,0.5,0.03306341898760354,0.06227941176470588
61,final_quarter,Temperature,82,0.8344597903810365,0.38461538461538464,0.011216682447948979,0.06485294117647059
61,final_quarter,Fisher,82,0.7506992740610138,0.2857142857142857,0.022533494411249334,0.04852941176470589
64,final_quarter,Semantic,63,0.7771217357910907,0.75,-0.020638920890937017,0.05641025641025641
64,final_quarter,Temperature,63,0.8829205069124423,0.4,0.036285522273425505,0.046794871794871795
64,final_quarter,Fisher,63,0.7835541474654377,0.4,0.0169786866359447,0.07307692307692308
75,final_quarter,Semantic,160,0.804570491034806,0.8823529411764706,-0.0069972459861713295,0.05186132740081571
75,final_quarter,Temperature,160,0.8476561584436891,0.8823529411764706,0.00016011367631548027,0.04808676307007786
75,final_quarter,Fisher,160,0.7806926051798899,0.8823529411764706,-0.014616488925348647,0.039938556067588324
79,final_quarter,Semantic,57,0.8285584651283382,0.3333333333333333,0.04690173710137414,0.07909090909090907
79,final_quarter,Temperature,57,0.8505963183821624,0.7142857142857143,-0.012253694581280792,0.052727272727272734
79,final_quarter,Fisher,57,0.7738527352864921,0.3333333333333333,0.05877949183303086,0.0809090909090909
80,final_quarter,Semantic,84,0.5885187810063784,0.5,-0.003259086767237019,0.05522058823529412
80,final_quarter,Temperature,84,0.7419256859370255,0.6363636363636364,-0.014074111572339782,0.05772058823529412
80,final_quarter,Fisher,84,0.5836387567075022,0.6363636363636364,0.023615470284499344,0.05147058823529412
81,final_quarter,Semantic,93,0.7768046313150905,0.5384615384615384,-0.014184894512249704,0.054437564499484004
81,final_quarter,Temperature,93,0.8336068753543612,0.8181818181818182,-0.019269045984900483,0.04712762297901617
81,final_quarter,Fisher,93,0.7698218495419414,0.6666666666666666,0.005393751305541461,0.05319487444100447
82,final_quarter,Semantic,59,0.8767387492694332,0.3333333333333333,-0.006043249561659846,0.038181818181818185
82,final_quarter,Temperature,59,0.9115137346580947,0.5,-0.001843950905902982,0.1196969696969697
82,final_quarter,Fisher,59,0.8954997077732321,0.7142857142857143,-0.0068176504967855074,0.05090909090909092
87,final_quarter,Semantic,91,0.8254021340977863,0.5384615384615384,-0.01085125019907629,0.04327485380116958
87,final_quarter,Temperature,91,0.8362318840579711,0.6666666666666666,-0.03964644051600574,0.05997162022703818
87,final_quarter,Fisher,91,0.8872591176939004,0.5384615384615384,0.006679407548972766,0.061558307533539726
88,final_quarter,Semantic,86,0.8433133638379167,0.5,-0.00014434643143545063,0.05889705882352941
88,final_quarter,Temperature,86,0.8984103023727533,0.5,0.02083117128166423,0.06816176470588235
88,final_quarter,Fisher,86,0.8496910231614698,0.8,0.0021217981980282117,0.06852941176470588
89,final_quarter,Semantic,80,0.7365682137834038,0.3333333333333333,0.008368495077355837,0.037142857142857144
89,final_quarter,Temperature,80,0.9031645569620255,0.45454545454545453,0.006101734646038444,0.0676190476190476
89,final_quarter,Fisher,80,0.8697843413033287,0.3333333333333333,0.052046413502109715,0.07058608058608058
93,final_quarter,Semantic,88,0.8805607410799199,0.5,-0.002083406713395095,0.06441176470588236
93,final_quarter,Temperature,88,0.8791870663238351,0.6363636363636364,0.018482969955267516,0.04852941176470589
93,final_quarter,Fisher,88,0.7464865626430912,0.38461538461538464,-0.006131344440139487,0.03977941176470588
94,final_quarter,Semantic,62,0.7787514794389464,0.2727272727272727,0.025909697564906454,0.04807692307692308
94,final_quarter,Temperature,62,0.8556067588325652,0.5555555555555556,0.01443176953488958,0.03910256410256411
94,final_quarter,Fisher,62,0.8650751680894462,0.75,0.03492231371660245,0.09137529137529138
96,final_quarter,Semantic,183,0.7971380009868962,0.6521739130434783,-0.011618842668379373,0.05144570850453204
96,final_quarter,Temperature,183,0.9165328612940874,0.7272727272727273,-0.003293472386487354,0.05536048653695712
96,final_quarter,Fisher,183,0.8352137883499253,0.5833333333333334,-0.030002819703461192,0.061652775770422816
99,final_quarter,Semantic,117,0.8455618996238516,0.6,-0.030805571790375998,0.07154714850367024
99,final_quarter,Temperature,117,0.8704311468776693,0.6,-0.018792054429108786,0.05375494071146245
99,final_quarter,Fisher,117,0.8071303331385155,0.3333333333333333,-0.0017095265926358877,0.035770750988142294
101,final_quarter,Semantic,174,0.911380164583274,0.8,0.008595802841766564,0.04745798319327731
101,final_quarter,Temperature,174,0.7888595916740225,0.8,-0.024986588456391127,0.06533246876463193
101,final_quarter,Fisher,174,0.9019448161963608,0.7142857142857143,-0.004746376605256415,0.04987299465240642
102,final_quarter,Semantic,101,0.7194641817122888,0.5714285714285714,0.006676761793826438,0.0493233082706767
102,final_quarter,Temperature,101,0.8271869539895165,0.8333333333333334,-0.01899068142108328,0.056134453781512605
102,final_quarter,Fisher,101,0.7674432149097262,0.5714285714285714,-0.00466394874781596,0.05265664160401003
106,final_quarter,Semantic,104,0.6775525445428359,0.5714285714285714,0.032460258188413534,0.07796992481203009
106,final_quarter,Temperature,104,0.5268430598527687,0.4666666666666667,-0.005743625306732101,0.0635672514619883
106,final_quarter,Fisher,104,0.7008321775312067,0.6923076923076923,0.01710711618478609,0.06796992481203008
107,final_quarter,Semantic,124,0.8264547600314712,0.625,0.003543981117230527,0.05171014492753623
107,final_quarter,Temperature,124,0.7582313139260424,0.625,-0.03160566483084186,0.05011264822134387
107,final_quarter,Fisher,124,0.73454602675059,0.4444444444444444,-0.011079150275373718,0.03466666666666667
108,final_quarter,Semantic,190,0.7900667900116785,0.46153846153846156,-0.00437971018296177,0.045883740883740885
108,final_quarter,Temperature,190,0.8192916847091551,0.6521739130434783,0.007643016791542552,0.05111891111891111
108,final_quarter,Fisher,190,0.8767074754950205,0.8095238095238095,-0.005638266696409435,0.040981780099427156
109,final_quarter,Semantic,75,0.8860028449502133,0.3333333333333333,0.014652916073968703,0.07890109890109889
109,final_quarter,Temperature,75,0.9000853485064012,0.6,-0.015972972972972968,0.058571428571428566
109,final_quarter,Fisher,75,0.9116927453769559,0.45454545454545453,-0.01271977240398293,0.058681318681318685
110,final_quarter,Semantic,90,0.8505988393628842,0.5,0.008108820018932377,0.0474264705882353
110,final_quarter,Temperature,90,0.9074289006873276,0.6363636363636364,0.01432440218957073,0.06227941176470588
110,final_quarter,Fisher,90,0.7294810058855002,0.6363636363636364,-0.009593777009507346,0.04558823529411765
115,final_quarter,Semantic,87,0.8102901509076328,0.5,-0.04212655828533935,0.058529411764705885
115,final_quarter,Temperature,87,0.9092184880075818,0.8,-0.034259495516512355,0.0636029411764706
