index,checkpoint,method,n_tokens,spearman,top10_jaccard,random_floor_spearman,random_floor_top10_jaccard
1,final_quarter,Semantic,107,0.8785144693273771,0.4666666666666667,0.022368189031916768,0.038809523809523815
1,final_quarter,Temperature,107,0.9259487842630145,0.4666666666666667,-0.027213993220870314,0.0524561403508772
1,final_quarter,Fisher,107,0.836017555202884,0.6923076923076923,0.00640588569525265,0.07324561403508772
2,final_quarter,Semantic,103,0.7502526029082284,0.15789473684210525,0.03238424197162062,0.05507518796992481
2,final_quarter,Temperature,103,0.8978166322540966,0.4666666666666667,-0.013957408953125689,0.06637254901960785
2,final_quarter,Fisher,103,0.9295237886043141,0.5714285714285714,0.0026583710407239816,0.07848370927318296
19,final_quarter,Semantic,75,0.8252631578947368,0.23076923076923078,0.054294452347083924,0.05249084249084248
19,final_quarter,Temperature,75,0.6995448079658605,0.3333333333333333,-0.0090398293029872,0.051428571428571435
19,final_quarter,Fisher,75,0.8187766714082504,0.23076923076923078,0.0032475106685632997,0.06523809523809523
23,final_quarter,Semantic,67,0.7599568999920187,0.4,-0.008851464602123073,0.05
23,final_quarter,Temperature,67,0.9054194269295236,0.4,-0.005601005666852904,0.06089743589743589
23,final_quarter,Fisher,67,0.8290366350067843,0.5555555555555556,-0.008344640434192677,0.06474358974358974
30,final_quarter,Semantic,65,0.9312937062937063,0.2727272727272727,-0.05556381118881119,0.04679487179487179
30,final_quarter,Temperature,65,0.9686625874125874,0.75,0.014637237762237765,0.07692307692307693
30,final_quarter,Fisher,65,0.9326048951048951,0.4,0.025692744755244756,0.07628205128205129
43,final_quarter,Semantic,78,0.9348499601664157,0.6,0.01844611085117414,0.06831501831501831
43,final_quarter,Temperature,78,0.9097611249509984,0.6,-0.015944814678991896,0.027142857142857142
43,final_quarter,Fisher,78,0.8855574804941894,0.6,-0.015818358856333543,0.07952380952380952
54,final_quarter,Semantic,83,0.6351538558414844,0.2,0.0012782838671760214,0.05889705882352941
54,final_quarter,Temperature,83,0.8566390999538223,0.38461538461538464,0.02007997145375929,0.06066176470588236
54,final_quarter,Fisher,83,0.7213383149322027,0.5,-0.010349061752235426,0.07522058823529412
57,final_quarter,Semantic,82,0.6398167194523351,0.38461538461538464,0.009555838530272854,0.06522058823529411
57,final_quarter,Temperature,82,0.4825916130647251,0.5,-0.0275650025576561,0.06852941176470588
57,final_quarter,Fisher,82,0.7377912734950642,0.38461538461538464,0.03156691807881935,0.058529411764705885
59,final_quarter,Semantic,80,0.7785747773089546,0.3333333333333333,0.025268401312705115,0.05142857142857142
59,final_quarter,Temperature,80,0.8693624003750585,0.7777777777777778,-0.03367323019221754,0.048095238095238094
59,final_quarter,Fisher,80,0.8563056727613689,0.3333333333333333,-0.010654008438818566,0.07890109890109889
62,final_quarter,Semantic,73,0.8765272121436506,0.45454545454545453,-0.041763852893989886,0.051428571428571435
62,final_quarter,Temperature,73,0.943971368628903,0.7777777777777778,-0.009956189065778104,0.048095238095238094
62,final_quarter,Fisher,73,0.9156176724669878,0.45454545454545453,-0.023161174873503648,0.10045621045621045
65,final_quarter,Semantic,78,0.8398057638563967,0.14285714285714285,-0.0026138418543481833,0.08058608058608059
65,final_quarter,Temperature,78,0.8964073900782761,0.7777777777777778,0.0048963694533314785,0.0701098901098901
65,final_quarter,Fisher,78,0.8121878121878121,0.06666666666666667,-0.004404456303190479,0.06296703296703296
67,final_quarter,Semantic,79,0.8474440116845181,0.23076923076923078,-0.016745374878286274,0.06904761904761905
67,final_quarter,Temperature,79,0.898904576436222,0.6,0.03575340798442065,0.05915750915750915
67,final_quarter,Fisher,79,0.8619766309639727,0.3333333333333333,0.010240993184031159,0.05963369963369962
72,final_quarter,Semantic,81,0.8184733514001807,0.125,-0.03136404697380306,0.06772058823529412
72,final_quarter,Temperature,81,0.916847335140018,0.5,-0.0019433152664859964,0.05441176470588236
72,final_quarter,Fisher,81,0.7795844625112918,0.2,-0.011037714543812102,0.061470588235294124
73,final_quarter,Semantic,65,0.6461538461538462,0.16666666666666666,-0.0019252622377622403,0.05192307692307692
73,final_quarter,Temperature,65,0.9133304195804195,0.4,-0.03600961538461539,0.05128205128205128
73,final_quarter,Fisher,65,0.862805944055944,0.4,0.05615384615384615,0.07004662004662003
78,final_quarter,Semantic,98,0.919374685206791,0.6666666666666666,0.012159465473162082,0.049466804265565864
78,final_quarter,Temperature,98,0.9305829173281307,0.42857142857142855,-0.03955906636319008,0.05799793601651186
78,final_quarter,Fisher,98,0.9140957226376959,0.42857142857142855,-0.030635196909129154,0.04853801169590642
94,final_quarter,Semantic,62,0.6961547178363678,0.07692307692307693,0.025997834353201882,0.058974358974358966
94,final_quarter,Temperature,62,0.8940343985293748,0.2727272727272727,-6.295484878244763e-05,0.05961538461538461
94,final_quarter,Fisher,62,0.9255118229206013,0.5555555555555556,0.016197023494749573,0.06794871794871794
101,final_quarter,Semantic,62,0.7389640150084359,0.4,-0.015089018156178389,0.08076923076923077
101,final_quarter,Temperature,62,0.7664123290775856,0.4,0.03368839868046638,0.08397435897435897
101,final_quarter,Fisher,62,0.7898315328246582,0.4,-0.014059076830097456,0.04038461538461539
103,final_quarter,Semantic,84,0.9528601802166649,0.8,-0.05291586514123723,0.07522058823529412
103,final_quarter,Temperature,84,0.9448618001417434,0.5,-0.027835375113900978,0.03933823529411765
103,final_quarter,Fisher,84,0.953285410549762,0.8,-0.023565860078971348,0.04852941176470589
105,final_quarter,Semantic,106,0.9338589817870367,0.5714285714285714,-0.01137970123686929,0.06796992481203008
105,final_quarter,Temperature,106,0.8816333727989522,0.4666666666666667,-0.035924125248759355,0.060112781954887215
105,final_quarter,Fisher,106,0.8855026828223795,0.375,0.02272715822354334,0.053333333333333344
106,final_quarter,Semantic,67,0.8892569239364675,0.75,0.01606672519754171,0.0715034965034965
106,final_quarter,Temperature,67,0.9354298028573712,0.75,0.013374970069438908,0.07243589743589743
106,final_quarter,Fisher,67,0.8682656237528934,0.75,-0.033921302578018994,0.058974358974358966
108,final_quarter,Semantic,74,0.918904109589041,0.45454545454545453,-0.020648648648648647,0.04428571428571428
108,final_quarter,Temperature,74,0.80952239911144,0.7777777777777778,0.0351129211403184,0.05142857142857142
108,final_quarter,Fisher,74,0.7740096260644205,0.3333333333333333,0.03304701962236208,0.07344322344322343
109,final_quarter,Semantic,90,0.8030374120261761,0.38461538461538464,-0.013348149977363463,0.03933823529411765
109,final_quarter,Temperature,90,0.7322467794377906,0.2857142857142857,-0.0029855537720706268,0.036397058823529414
109,final_quarter,Fisher,90,0.7843849034860271,0.5,0.0236819360414866,0.042279411764705885
110,final_quarter,Semantic,76,0.8251264524948736,0.3333333333333333,-0.05320847573479152,0.027142857142857142
110,final_quarter,Temperature,76,0.8507997265892002,0.3333333333333333,0.0029747095010252897,0.07153846153846154
110,final_quarter,Fisher,76,0.8276144907723855,0.23076923076923078,-0.0003499658236500315,0.04380952380952381
111,final_quarter,Semantic,64,0.8593406593406593,0.16666666666666666,0.03824862637362637,0.057226107226107215
111,final_quarter,Temperature,64,0.930631868131868,0.2727272727272727,0.03578754578754578,0.11970862470862471
111,final_quarter,Fisher,64,0.8585622710622709,0.16666666666666666,0.005643315018315024,0.07961538461538462
114,final_quarter,Semantic,85,0.8322454563220637,0.38461538461538464,0.04144322845417237,0.09389705882352942
114,final_quarter,Temperature,85,0.8986320109439125,0.5,-0.005302911862419386,0.03676470588235294
114,final_quarter,Fisher,85,0.9147547391049442,0.6363636363636364,-0.038926128590971276,0.036029411764705886
115,final_quarter,Semantic,100,0.8761476147614761,0.42857142857142855,0.0283012301230123,0.06384588923288614
115,final_quarter,Temperature,100,0.8271107110711071,0.8181818181818182,-0.008238823882388236,0.06881664946680426
115,final_quarter,Fisher,100,0.9078547854785477,0.5384615384615384,-0.04906510651065106,0.03513931888544891
120,final_quarter,Semantic,80,0.762330051570558,0.14285714285714285,0.008919362400375058,0.07010989010989009
120,final_quarter,Temperature,80,0.8832630098452884,0.45454545454545453,0.014286216596343177,0.054761904761904755
120,final_quarter,Fisher,80,0.7458040318799812,0.23076923076923078,-0.019444444444444448,0.048571428571428564
121,final_quarter,Semantic,78,0.9203328317252367,0.6,-0.042108524387005394,0.026666666666666665
121,final_quarter,Temperature,78,0.9225837453685554,0.7777777777777778,0.022980816651702728,0.0789010989010989
121,final_quarter,Fisher,78,0.8894776109965982,0.7777777777777778,-0.0038467861252671405,0.048095238095238094
132,final_quarter,Semantic,95,0.7541573348264278,0.17647058823529413,0.007945128779395298,0.0632094943240454
132,final_quarter,Temperature,95,0.6668673012318029,0.3333333333333333,-0.029740341545352746,0.054072067423460615
132,final_quarter,Fisher,95,0.8318309070548712,0.17647058823529413,0.0103226483762598,0.055022359821121435
134,final_quarter,Semantic,77,0.9568852200431146,0.7777777777777778,0.05816026079183974,0.03761904761904762
134,final_quarter,Temperature,77,0.9468163415531835,0.7777777777777778,0.030037068194962928,0.08164835164835163
134,final_quarter,Fisher,77,0.9261265050738734,0.7777777777777778,0.019586991955412997,0.06677655677655676
135,final_quarter,Semantic,76,0.7490909090909091,0.14285714285714285,0.026509911141490084,0.06725274725274724
135,final_quarter,Temperature,76,0.7394395078605605,0.14285714285714285,0.00848667122351333,0.04915750915750916
135,final_quarter,Fisher,76,0.8763636363636363,0.23076923076923078,0.01756254272043746,0.0645054945054945
136,final_quarter,Semantic,64,0.921062271062271,0.5555555555555556,-0.025244963369963364,0.035256410256410256
136,final_quarter,Temperature,64,0.8506868131868129,0.4,0.06401785714285714,0.06794871794871796
136,final_quarter,Fisher,64,0.8379120879120878,0.2727272727272727,0.05886904761904761,0.08368298368298369
140,final_quarter,Semantic,70,0.8974717872452104,0.75,0.014124748490945676,0.05192307692307692
140,final_quarter,Temperature,70,0.8845595310996412,0.5555555555555556,-0.04590149593211442,0.06491841491841492
140,final_quarter,Fisher,70,0.9013559618581051,0.75,0.01645525325868253,0.05722610722610723
141,final_quarter,Semantic,79,0.651192794547225,0.45454545454545453,-0.0005611002921129506,0.08318681318681317
141,final_quarter,Temperature,79,0.7330574488802337,0.45454545454545453,0.02994644595910418,0.07783882783882783
141,final_quarter,Fisher,79,0.7405306718597858,0.6,-0.03894839337877313,0.047619047619047616
169,final_quarter,Semantic,66,0.883978707859305,0.2727272727272727,0.005293810666944994,0.051923076923076926
169,final_quarter,Temperature,66,0.933576870890304,0.75,0.006763385867863481,0.055128205128205134
169,final_quarter,Fisher,66,0.8964199979125353,0.16666666666666666,0.011489406116271786,0.0564102564102564
174,final_quarter,Semantic,95,0.8747760358342667,0.6666666666666666,0.018858482642777157,0.07734778121775024
174,final_quarter,Temperature,95,0.8447928331466965,0.6666666666666666,0.03257068868980963,0.0694014447884417
174,final_quarter,Fisher,95,0.8528975363941769,0.5384615384615384,-0.02692469204927212,0.061214310285517715
177,final_quarter,Semantic,77,0.8528576686471423,0.23076923076923078,0.001281613123718385,0.04153846153846154
177,final_quarter,Temperature,77,0.9088017245911982,0.7777777777777778,0.040221620484778384,0.06190476190476191
177,final_quarter,Fisher,77,0.9019927440980072,0.3333333333333333,0.03013039591986959,0.04476190476190476
178,final_quarter,Semantic,68,0.7077909684314998,0.16666666666666666,0.020345841126846582,0.0770979020979021
178,final_quarter,Temperature,68,0.8119632018933466,0.4,-0.005252509829369775,0.0641025641025641
178,final_quarter,Fisher,68,0.586504051101745,0.2727272727272727,-0.023450428012176082,0.05512820512820512
189,final_quarter,Semantic,64,0.8785714285714286,0.4,-0.016804029304029296,0.06923076923076922
189,final_quarter,Temperature,64,0.924404761904762,0.5555555555555556,-0.015096153846153846,0.04871794871794871
189,final_quarter,Fisher,64,0.8573260073260073,0.2727272727272727,0.007099358974358977,0.05722610722610723
193,final_quarter,Semantic,73,0.6805195606565472,0.3333333333333333,0.03172281870912009,0.06783882783882784
193,final_quarter,Temperature,73,0.9147229421202027,0.6,0.01671294582253487,0.06402930402930403
193,final_quarter,Fisher,73,0.7780451684561275,0.3333333333333333,-0.04513760335678144,0.055824175824175815
194,final_quarter,Semantic,72,0.8979677149655928,0.45454545454545453,-0.04007010097112354,0.06249084249084249
194,final_quarter,Temperature,72,0.8306321949964628,0.23076923076923078,-0.03731590455977877,0.05344322344322344
194,final_quarter,Fisher,72,0.8887709820567239,0.45454545454545453,0.015279117628143301,0.05142857142857142
196,final_quarter,Semantic,68,0.6307592472420506,0.07692307692307693,-0.018223460701607054,0.05576923076923076
196,final_quarter,Temperature,68,0.7869985112799175,0.4,-0.009054471886093828,0.07705128205128206
196,final_quarter,Fisher,68,0.6603809596518685,0.16666666666666666,0.019771347864259263,0.03910256410256411
198,final_quarter,Semantic,70,0.8727320444405564,0.2727272727272727,-0.023588487446417637,0.05128205128205128
198,final_quarter,Temperature,70,0.8799755052051439,0.5555555555555556,0.023899921266730823,0.060256410256410244
198,final_quarter,Fisher,70,0.7696089580964045,0.2727272727272727,0.0169993876301286,0.06491841491841492
199,final_quarter,Semantic,62,0.90032988340762,0.2727272727272727,0.04267835108660069,0.12086247086247086
199,final_quarter,Temperature,62,0.8629095212913299,0.4,0.022701518470952635,0.08158508158508158
199,final_quarter,Fisher,62,0.9452544634987788,0.4,0.013505074160811864,0.046794871794871795
204,final_quarter,Semantic,71,0.7782360831656606,0.14285714285714285,0.0057075788061703575,0.0563003663003663
204,final_quarter,Temperature,71,0.8479879275653922,0.23076923076923078,-0.07322769953051642,0.04095238095238095
204,final_quarter,Fisher,71,0.8,0.23076923076923078,-0.06912810194500335,0.05963369963369963
211,final_quarter,Semantic,74,0.9016068122917437,0.45454545454545453,-0.06494187338022953,0.05736263736263736
211,final_quarter,Temperature,74,0.9696408737504626,0.7777777777777778,0.0008115512773047045,0.06736263736263737
211,final_quarter,Fisher,74,0.944494631617919,0.7777777777777778,0.025803776379118838,0.0519047619047619
225,final_quarter,Semantic,80,0.7729723394280357,0.6,0.017789498359118618,0.06238095238095237
225,final_quarter,Temperature,80,0.8976793248945149,0.6,-0.043824425691514304,0.058571428571428566
225,final_quarter,Fisher,80,0.8909985935302391,0.7777777777777778,0.012726207219878105,0.04428571428571428
230,final_quarter,Semantic,90,0.7881384533069925,0.38461538461538464,-0.008344240029633288,0.0574264705882353
230,final_quarter,Temperature,90,0.9439601596904967,0.8,0.014568876816067828,0.06816176470588235
230,final_quarter,Fisher,90,0.8200600897230109,0.38461538461538464,0.03562909001111248,0.06772058823529412
233,final_quarter,Semantic,80,0.9167369901547117,0.45454545454545453,0.0036591654946085323,0.06296703296703296
233,final_quarter,Temperature,80,0.8859353023909987,0.7777777777777778,0.02728082512892639,0.055824175824175815
233,final_quarter,Fisher,80,0.7849742147210501,0.3333333333333333,0.00435419596812002,0.05582417582417583
236,final_quarter,Semantic,69,0.8906101571063209,0.75,-0.021384727804165147,0.05128205128205128
236,final_quarter,Temperature,69,0.9213372305443918,0.75,-0.016521739130434778,0.05576923076923076
236,final_quarter,Fisher,69,0.8646693459992693,0.75,-8.76872488125631e-05,0.035897435897435895
238,final_quarter,Semantic,85,0.80125073285128,0.6363636363636364,0.01770568692593317,0.08183823529411766
238,final_quarter,Temperature,85,0.880750439710768,0.38461538461538464,0.021026968927105726,0.05522058823529412
238,final_quarter,Fisher,85,0.923001758843072,0.5,-0.021882939222200505,0.04852941176470589
249,final_quarter,Semantic,76,0.9364319890635681,0.6,0.005030758714969241,0.04095238095238095
249,final_quarter,Temperature,76,0.8418318523581682,0.6,-0.020697197539302804,0.042967032967032956
249,final_quarter,Fisher,76,0.8711688311688313,0.6,0.039830485304169515,0.08498168498168499
258,final_quarter,Semantic,76,0.9303349282296652,0.6,0.014735475051264523,0.05809523809523809
258,final_quarter,Temperature,76,0.8892412850307587,0.45454545454545453,0.04145317840054683,0.07677655677655677
258,final_quarter,Fisher,76,0.8915652768284347,0.6,-0.023565276828434727,0.054285714285714284
259,final_quarter,Semantic,77,0.820915926179084,0.06666666666666667,-0.013101372311898628,0.04630036630036629
259,final_quarter,Temperature,77,0.9200010515799989,0.45454545454545453,0.035563121089436864,0.0719047619047619
259,final_quarter,Fisher,77,0.9381408065618592,0.14285714285714285,-0.033569062516430936,0.05904761904761905
