index,checkpoint,method,n_tokens,spearman,top10_jaccard,random_floor_spearman,random_floor_top10_jaccard
1,final_quarter,Semantic,75,0.9128591749644381,0.6,0.016004267425320056,0.054761904761904755
1,final_quarter,Temperature,75,0.8538264580369843,0.6,-0.014514935988620198,0.05307692307692308
1,final_quarter,Fisher,75,0.9154196301564722,0.45454545454545453,0.007406827880512087,0.042490842490842486
2,final_quarter,Semantic,65,0.8044580419580419,0.5555555555555556,0.015461101398601402,0.044405594405594405
2,final_quarter,Temperature,65,0.8274038461538461,0.75,-0.00259178321678322,0.05064102564102564
2,final_quarter,Fisher,65,0.7676573426573426,0.4,-0.012808129370629367,0.06025641025641025
20,final_quarter,Semantic,71,0.8983903420523139,0.3333333333333333,-0.007479879275653925,0.08153846153846153
20,final_quarter,Temperature,71,0.8371562709590878,0.7777777777777778,0.020749496981891345,0.07190476190476189
20,final_quarter,Fisher,71,0.8848759221998658,0.6,0.013484238765928903,0.06904761904761905
26,final_quarter,Semantic,85,0.879656048465898,0.8,0.03829978503029118,0.061397058823529416
26,final_quarter,Temperature,85,0.6311119796755912,0.5,0.00693375024428376,0.06220588235294118
26,final_quarter,Fisher,85,0.909204612077389,0.6363636363636364,0.016908344733242132,0.06772058823529412
32,final_quarter,Semantic,97,0.7839916894592887,0.3333333333333333,0.027279481380180944,0.04064327485380117
32,final_quarter,Temperature,97,0.8829686513780769,0.6666666666666666,0.003734483484115291,0.0828001375988992
32,final_quarter,Fisher,97,0.8468730275615399,0.25,0.019856537976015144,0.08149294805641555
47,final_quarter,Semantic,51,0.8318552036199094,0.3333333333333333,-0.0331447963800905,0.06636363636363635
47,final_quarter,Temperature,51,0.7817194570135746,0.3333333333333333,0.012036199095022623,0.06303030303030302
47,final_quarter,Fisher,51,0.9221719457013574,1.0,0.05000904977375566,0.07272727272727272
58,final_quarter,Semantic,60,0.7197554876354545,0.5,-0.04795498749652683,0.03727272727272727
58,final_quarter,Temperature,60,0.8996943595443182,1.0,-0.027288135593220342,0.04727272727272727
58,final_quarter,Fisher,60,0.8412892470130593,0.5,0.04837732703528759,0.07272727272727272
61,final_quarter,Semantic,74,0.9032062199185485,0.45454545454545453,-0.014104405775638647,0.03380952380952381
61,final_quarter,Temperature,74,0.803924472417623,0.3333333333333333,-0.03127730470196223,0.08212454212454212
61,final_quarter,Fisher,74,0.9404664938911513,0.6,0.00031247686042206564,0.08593406593406593
65,final_quarter,Semantic,91,0.9368211498646282,0.42857142857142855,0.032971014492753636,0.07079033367733058
65,final_quarter,Temperature,91,0.9140468227424751,0.8181818181818182,-0.02618967988533206,0.04327485380116959
65,final_quarter,Fisher,91,0.905048574613792,0.5384615384615384,-0.04234671125975474,0.06969384244926041
69,final_quarter,Semantic,68,0.8354010001145169,0.5555555555555556,-0.00793984043974501,0.07243589743589743
69,final_quarter,Temperature,68,0.8115051341756689,0.75,-0.00544718860938276,0.05658508158508159
69,final_quarter,Fisher,68,0.8258960949727068,0.5555555555555556,0.021859373210672974,0.04487179487179487
71,final_quarter,Semantic,53,0.7406869859700047,0.3333333333333333,-0.03398242218996936,0.05636363636363636
71,final_quarter,Temperature,53,0.6873084986292533,0.7142857142857143,0.005422512497984197,0.08454545454545453
71,final_quarter,Fisher,53,0.7007740686985969,0.3333333333333333,0.031684405741009516,0.07181818181818181
73,final_quarter,Semantic,75,0.8486486486486486,0.45454545454545453,-0.023479374110953057,0.07725274725274725
73,final_quarter,Temperature,75,0.7591180654338548,0.6,0.020594594594594597,0.07952380952380951
73,final_quarter,Fisher,75,0.7703271692745377,0.3333333333333333,-0.007630156472261738,0.07498168498168498
79,final_quarter,Semantic,54,0.9201829616923956,0.5,0.022012578616352196,0.031818181818181815
79,final_quarter,Temperature,54,0.9467886411282637,0.5,0.01001334095673719,0.09212121212121212
79,final_quarter,Fisher,54,0.8921288355250618,0.7142857142857143,0.014049933295216315,0.04939393939393939
80,final_quarter,Semantic,79,0.8094206426484907,0.6,0.01337633885102239,0.0580952380952381
80,final_quarter,Temperature,79,0.8617575462512173,0.6,0.007265092502434273,0.07439560439560439
80,final_quarter,Fisher,79,0.7801850048685492,0.45454545454545453,0.012206669912366115,0.08058608058608058
83,final_quarter,Semantic,56,0.815721120984279,0.3333333333333333,0.006442241968557761,0.09272727272727271
83,final_quarter,Temperature,56,0.7323308270676692,0.3333333333333333,-0.016780587833219413,0.07393939393939393
83,final_quarter,Fisher,56,0.7185919343814081,0.3333333333333333,0.023523581681476415,0.06393939393939393
101,final_quarter,Semantic,157,0.9440395933986194,0.6842105263157895,-0.032105290903565516,0.061069442237406645
101,final_quarter,Temperature,157,0.9079596127487767,0.6842105263157895,-0.02746745514422689,0.05222999099528577
101,final_quarter,Fisher,157,0.7863947308033417,0.3333333333333333,-0.008049386314725343,0.03508713385242862
107,final_quarter,Semantic,111,0.8547297297297297,0.3333333333333333,-0.018309055809055806,0.04313946922642574
107,final_quarter,Temperature,111,0.881081081081081,0.5,-0.0016769041769041765,0.06985883681535855
107,final_quarter,Fisher,111,0.8230519480519479,0.4117647058823529,-0.025351439101439093,0.04488989271597967
108,final_quarter,Semantic,165,0.8863382576870678,0.4166666666666667,-0.017928699276039857,0.03781158357771261
108,final_quarter,Temperature,165,0.8158336227392944,0.5454545454545454,0.016134693986589378,0.05785211683014797
108,final_quarter,Fisher,165,0.7247215024176531,0.36,0.00868912456923036,0.04892900782013685
111,final_quarter,Semantic,47,0.9006706753006475,0.42857142857142855,0.000971322849213694,0.03888888888888889
111,final_quarter,Temperature,47,0.7708140610545792,0.42857142857142855,0.01406105457909343,0.09305555555555556
111,final_quarter,Fisher,47,0.8913043478260869,0.42857142857142855,-0.009320074005550419,0.04920634920634921
112,final_quarter,Semantic,106,0.8658941481724061,0.4666666666666667,-0.026383857722246013,0.059920634920634916
112,final_quarter,Temperature,106,0.69392145502179,0.2222222222222222,0.004177645665919339,0.039047619047619046
112,final_quarter,Fisher,106,0.9217875406201981,0.375,0.013566768269642546,0.05880534670008355
115,final_quarter,Semantic,75,0.803072546230441,0.6,-0.03741536273115221,0.04714285714285714
115,final_quarter,Temperature,75,0.8581507823613086,0.6,0.027261735419630156,0.03380952380952381
115,final_quarter,Fisher,75,0.7900711237553342,0.6,0.035475106685632994,0.0745054945054945
116,final_quarter,Semantic,75,0.8695305832147936,0.45454545454545453,0.016170697012802274,0.09164835164835164
116,final_quarter,Temperature,75,0.927624466571835,0.7777777777777778,0.04519772403982931,0.0819047619047619
116,final_quarter,Fisher,75,0.9758748221906117,1.0,0.026543385490753912,0.054029304029304025
117,final_quarter,Semantic,72,0.9034664608656507,0.23076923076923078,-0.03191041224516046,0.07476190476190477
117,final_quarter,Temperature,72,0.8722747443565504,0.45454545454545453,0.03864074860119622,0.08926739926739927
117,final_quarter,Fisher,72,0.8959418612129398,0.3333333333333333,-0.027299183227217187,0.0563003663003663
120,final_quarter,Semantic,78,0.8364167478091528,0.7777777777777778,-0.042003566054198964,0.047619047619047616
120,final_quarter,Temperature,78,0.8219754928615688,0.45454545454545453,-0.04405594405594405,0.04857142857142857
120,final_quarter,Fisher,78,0.5697467089872152,0.6,-0.01520884179112027,0.07498168498168498
121,final_quarter,Semantic,63,0.6686827956989247,0.75,0.03766801075268818,0.09761072261072261
121,final_quarter,Temperature,63,0.6802035330261137,0.5555555555555556,-0.01361607142857143,0.07128205128205127
121,final_quarter,Fisher,63,0.7281586021505377,0.5555555555555556,0.003540226574500769,0.03974358974358975
122,final_quarter,Semantic,87,0.9436830210687467,0.8,0.012645804476197417,0.06977941176470588
122,final_quarter,Temperature,87,0.6454035138878762,0.6363636363636364,-0.009380695487351463,0.06987394957983194
122,final_quarter,Fisher,87,0.8059706933002841,0.5,-0.018969162353284247,0.03933823529411765
126,final_quarter,Semantic,64,0.9076923076923075,0.75,-0.01475274725274725,0.08432400932400932
126,final_quarter,Temperature,64,0.8968864468864468,0.75,0.01484661172161172,0.07243589743589743
126,final_quarter,Fisher,64,0.8713369963369964,0.75,0.00392857142857143,0.04294871794871795
128,final_quarter,Semantic,64,0.7491758241758242,0.2727272727272727,0.016897893772893767,0.07773892773892774
128,final_quarter,Temperature,64,0.9195970695970695,0.4,-0.006870421245421249,0.04294871794871795
128,final_quarter,Fisher,64,0.6058608058608058,0.75,0.04368818681318681,0.09294871794871795
134,final_quarter,Semantic,49,0.9376530612244898,1.0,0.0572704081632653,0.07083333333333333
134,final_quarter,Temperature,49,0.9678571428571427,1.0,-0.04318367346938775,0.05277777777777778
134,final_quarter,Fisher,49,0.9691836734693877,1.0,0.008326530612244894,0.07361111111111111
135,final_quarter,Semantic,129,0.825486359570662,0.625,-0.0021771578711985715,0.04844598155467721
135,final_quarter,Temperature,129,0.8809033989266548,0.625,-0.012677493291592132,0.04606521739130435
135,final_quarter,Fisher,129,0.7562108676207515,0.5294117647058824,-0.00832373658318426,0.07441370223978919
136,final_quarter,Semantic,68,0.8988815513226704,0.5555555555555556,-0.011165400618391422,0.07256410256410258
136,final_quarter,Temperature,68,0.877314196282017,0.75,0.018177653929839294,0.05961538461538461
136,final_quarter,Fisher,68,0.9208688017711951,0.4,0.04764858571592167,0.06923076923076922
138,final_quarter,Semantic,70,0.8030618493570116,0.75,0.016915405476336277,0.055128205128205134
138,final_quarter,Temperature,70,0.6790831948211005,0.4,0.023772198407838334,0.06730769230769232
138,final_quarter,Fisher,70,0.881060274691628,0.75,0.03372058437582014,0.07325174825174825
140,final_quarter,Semantic,77,0.833534886166465,0.3333333333333333,-0.025577054524422937,0.07047619047619047
140,final_quarter,Temperature,77,0.8032493821967505,0.45454545454545453,0.006492192018507809,0.07344322344322343
140,final_quarter,Fisher,77,0.8962090541037909,0.45454545454545453,0.038671854461328134,0.09104229104229103
141,final_quarter,Semantic,60,0.8674631842178385,0.5,0.02185329258127258,0.045454545454545456
141,final_quarter,Temperature,60,0.7983328702417339,0.3333333333333333,0.007810502917477075,0.0993939393939394
141,final_quarter,Fisher,60,0.786496248958044,0.3333333333333333,-0.002634065018060576,0.0809090909090909
174,final_quarter,Semantic,69,0.8201680672268908,0.5555555555555556,0.02351479722323712,0.058333333333333334
174,final_quarter,Temperature,69,0.7637924735111437,0.5555555555555556,0.017106320789185246,0.059615384615384605
174,final_quarter,Fisher,69,0.8484837413226161,0.75,0.03486481549141396,0.035897435897435895
178,final_quarter,Semantic,62,0.9136763113495002,0.75,-0.00989398403465035,0.05897435897435897
178,final_quarter,Temperature,62,0.8061494296290701,0.2727272727272727,0.0002090100979577448,0.051923076923076926
178,final_quarter,Fisher,62,0.6941905265543552,0.4,0.03901689708141321,0.07004662004662003
181,final_quarter,Semantic,84,0.8385947149944316,0.6363636363636364,0.016842158550167057,0.052647058823529415
